label,source,target
,"人 民 网 1 月 1 日 讯 据 《 纽 约 时 报 》 报 道 , 美 国 华 尔 街 股 市 在 2 0 1 3 年 的 最 后 一 天 继 续 上 涨 , 和 全 球 股 市 一 样 , 都 以 最 高 纪 录 或 接 近 最 高 纪 录 结 束 本 年 的 交 易 。
","O O O B_T I_T I_T I_T O O O B_LOC I_LOC O O O O O O B_LOC I_LOC I_LOC I_LOC I_LOC O O O B_T I_T I_T I_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"
,"《 纽 约 时 报 》 报 道 说 , 标 普 5 0 0 指 数 今 年 上 升 2 9 . 6 % , 为 1 9 9 7 年 以 来 的 最 大 涨 幅 ; 道 琼 斯 工 业 平 均 指 数 上 升 2 6 . 5 % , 为 1 9 9 6 年 以 来 的 最 大 涨 幅 ; 纳 斯 达 克 上 涨 3 8 . 3 % 。
","O B_LOC I_LOC O O O O O O O O O O O O O O B_T I_T O O O O O O O O O B_T I_T I_T I_T I_T O O O O O O O O B_ORG I_ORG I_ORG O O O O O O O O O O O O O O O B_T I_T I_T I_T I_T O O O O O O O O B_PER I_PER O O O O O O O O O O
"
,"就 1 2 月 3 1 日 来 说 , 由 于 就 业 前 景 看 好 和 经 济 增 长 明 年 可 能 加 速 , 消 费 者 信 心 上 升 。 工 商 协 进 会 ( C o n f e r e n c e B o a r d ) 报 告 , 1 2 月 消 费 者 信 心 上 升 到 7 8 . 1 , 明 显 高 于 1 1 月 的 7 2 。
","O B_T I_T I_T I_T I_T I_T O O O O O O O O O O O O O O O O B_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_T I_T I_T O O O O O O O O O O O O O O O O O B_T I_T I_T O O O O
"
,"另 据 《 华 尔 街 日 报 》 报 道 , 2 0 1 3 年 是 1 9 9 5 年 以 来 美 国 股 市 表 现 最 好 的 一 年 。 这 一 年 里 , 投 资 美 国 股 市 的 明 智 做 法 是 追 着 “ 傻 钱 ” 跑 。 所 谓 的 “ 傻 钱 ” 策 略 , 其 实 就 是 买 入 并 持 有 美 国 股 票 这 样 的 普 通 组 合 。 这 个 策 略 要 比 对 冲 基 金 和 其 它 专 业 投 资 者 使 用 的 更 为 复 杂 的 投 资 方 法 效 果 好 得 多 。 ( 老 任 )
","O O O B_LOC I_LOC I_LOC O O O O O O B_T I_T I_T I_T I_T O B_T I_T I_T I_T I_T O O B_LOC I_LOC O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"
,"人 民 网 平 壤 1 月 1 日 电 ( 记 者 王 莉 、 程 维 丹 ) 朝 鲜 最 高 领 导 人 金 正 恩 1 日 通 过 朝 鲜 各 大 媒 体 发 表 2 0 1 4 年 新 年 贺 词 , 向 朝 鲜 全 体 军 民 致 以 新 年 问 候 , 强 调 在 新 的 一 年 里 将 继 续 加 强 经 济 强 国 建 设 , 提 高 人 民 生 活 水 平 , 加 强 国 防 力 量 , 在 祖 国 统 一 斗 争 中 取 得 新 的 进 展 。 这 一 新 年 贺 词 被 视 为 朝 鲜 未 来 一 年 工 作 的 指 导 方 针 。
","O O O B_LOC I_LOC I_T I_T I_T I_T O O O O B_PER I_PER O B_PER I_PER I_PER O B_LOC I_LOC O O O O O B_PER I_PER I_PER I_T I_T O O B_LOC I_LOC O O O O O O B_T I_T I_T I_T I_T I_T I_T O O O O B_LOC I_LOC O O O O O O B_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_T I_T O O O O O B_LOC I_LOC I_T I_T O O O O O O O O O O
"
,"金 正 恩 在 贺 词 中 回 顾 了 过 去 一 年 朝 鲜 在 各 领 域 取 得 的 成 绩 , 向 全 体 军 民 表 示 感 谢 , 并 提 到 2 0 1 3 年 朝 鲜 劳 动 党 采 取 坚 决 措 施 清 除 了 隐 藏 在 党 内 的 宗 派 污 点 , 适 时 作 出 正 确 决 策 , 揭 发 和 肃 清 了 反 党 反 革 命 宗 派 集 团 , 使 党 和 革 命 队 伍 进 一 步 巩 固 , 朝 鲜 的 一 心 团 结 得 到 加 强 。
","B_PER I_PER I_PER O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O B_T I_T I_T I_T I_T I_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O
"
,"金 正 恩 表 示 , 在 今 年 的 经 济 建 设 和 提 高 人 民 生 活 的 努 力 中 , 要 把 农 业 当 做 主 攻 方 向 狠 抓 , 对 农 业 集 中 一 切 力 量 。 今 年 要 在 建 设 部 门 开 创 新 的 繁 荣 期 , 搞 好 发 电 站 建 设 、 畜 产 基 地 建 设 、 住 房 建 设 等 一 系 列 重 要 建 设 工 程 。 朝 鲜 将 继 续 大 力 加 强 国 防 力 量 , 尤 其 是 加 强 军 队 基 本 战 斗 单 位 — — 连 队 的 建 设 。 在 国 防 工 业 部 门 更 多 生 产 轻 量 化 、 无 人 化 、 智 能 化 、 精 密 化 的 朝 鲜 式 现 代 化 武 器 装 备 , 进 一 步 巩 固 自 卫 国 防 力 量 。
","B_PER I_PER I_PER O O O O B_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O
"
,"金 正 恩 强 调 , 要 彻 底 建 立 唯 一 领 导 体 系 , 牢 固 保 障 党 队 伍 的 纯 洁 性 , 加 强 党 组 织 的 战 斗 职 能 和 作 用 , 对 妨 害 党 和 革 命 队 伍 统 一 团 结 的 细 微 现 象 和 因 素 要 保 持 警 惕 并 彻 底 加 以 克 服 , 继 续 开 展 清 除 损 害 朝 鲜 制 度 的 异 色 思 想 和 颓 废 风 潮 的 斗 争 , 坚 决 粉 碎 敌 人 思 想 文 化 渗 透 阴 谋 。
","B_PER I_PER I_PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"
,"金 正 恩 表 示 , 今 年 要 贯 彻 金 日 成 和 金 正 日 的 遗 训 , 在 祖 国 统 一 运 动 中 取 得 新 进 展 。 北 方 和 南 方 应 坚 持 祖 国 统 一 三 大 宪 章 和 《 北 南 共 同 宣 言 》 的 自 主 原 则 , 站 在 “ 我 们 民 族 自 己 ” 的 立 场 , 尊 重 并 诚 实 履 行 宣 言 。 必 须 营 造 气 氛 改 善 北 南 关 系 。 朝 鲜 民 族 相 互 诽 谤 反 目 只 会 让 不 希 望 祖 国 统 一 的 势 力 坐 收 渔 利 。 要 结 束 诽 谤 中 伤 , 不 能 再 做 有 碍 和 解 与 团 结 的 事 情 。 只 要 是 重 视 民 族 、 希 望 统 一 的 人 , 我 们 不 管 他 是 谁 , 既 往 不 咎 , 一 同 携 手 前 进 。 朝 鲜 今 后 也 将 为 改 善 北 南 关 系 做 出 积 极 努 力 。
","B_PER I_PER I_PER O O O B_T I_T O O O B_PER I_PER I_PER O B_PER I_PER I_PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC I_T I_T O O O O O O O O O O O O O O O O
"
,"金 正 恩 表 示 , 和 平 对 于 朝 鲜 人 民 来 说 无 比 珍 贵 , 但 和 平 不 是 靠 期 盼 和 乞 求 就 能 得 来 的 。 在 朝 鲜 半 岛 上 针 对 朝 鲜 的 核 战 争 阴 云 不 散 的 情 况 下 , 朝 鲜 绝 不 会 袖 手 旁 观 , 将 以 强 有 力 的 自 卫 力 量 维 护 国 家 主 权 与 和 平 。 朝 鲜 党 和 政 府 今 后 也 将 牢 固 坚 持 自 主 、 和 平 、 友 谊 的 对 外 政 策 理 念 , 同 尊 重 朝 鲜 主 权 并 友 好 相 待 的 所 有 国 家 扩 大 发 展 友 好 合 作 关 系 , 为 世 界 和 平 、 安 全 和 人 类 共 同 繁 荣 而 积 极 努 力 。
","B_PER I_PER I_PER O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O B_LOC I_LOC O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O B_T I_T O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"
